model,score,throughput,response_length,latency,energy
nomic-ai/gpt4all-13b-snoozy,1000,17.49248031399515,247.985693323551,14.181123345829985,4062.2267549522685
openaccess-ai-collective/manticore-13b-chat-pyg,1000,17.44606367796202,286.0986394557823,16.429331867067066,4234.8920629251315
OpenAssistant/oasst-sft-1-pythia-12b,1000,14.554123762013031,256.4284440481498,17.24496884440162,3954.9932010698894
project-baize/baize-v2-7B,1000,28.790635200139974,323.37911349899264,11.062212685973098,2615.2815305572017
